PMID	Sample Type	Journal	Article Title	Abstract	Number of samples/patients
24927234		American journal of respiratory and critical care medicine	Clinical mechanism of the cystic fibrosis transmembrane conductance regulator potentiator ivacaftor in G551D-mediated cystic fibrosis.	"Ivacaftor is a cystic fibrosis transmembrane conductance regulator (CFTR) potentiator recently approved for patients with CF age 6 and older with the G551D mutation. To evaluate ivacaftor in a postapproval setting and determine mechanism of action and response of clinically relevant markers. We conducted a longitudinal cohort study in 2012-2013 in G551D CF patients age 6 and older with no prior exposure to ivacaftor. Study assessments were performed at baseline, 1, 3, and 6 months after ivacaftor initiation. Substudies evaluated mucociliary clearance, β-adrenergic sweat secretion rate, gastrointestinal pH, and sputum inflammation and microbiology Measurements and Main Results: A total of 151 of 153 subjects were prescribed ivacaftor and 88% completed the study through 6 months. FEV1 % predicted improved from baseline to 6 months (mean absolute change, 6.7%; P < 0.001). Similarly, body mass index improved from baseline to 6 months (mean change, 0.8 kg/m(2); P < 0.001). Sweat chloride decreased from baseline to 6 months (mean change, -53.8 mmol/L; 95% confidence interval, -57.7 to -49.9; P < 0.001), reflecting augmented CFTR function. There was significant improvement in hospitalization rate (P < 0.001) and Pseudomonas aeruginosa burden (P < 0.01). Significant improvements in mucociliary clearance (P < 0.001), gastrointestinal pH (P = 0.001), and microbiome were also observed, providing clinical mechanisms underlying the therapeutic benefit of ivacaftor. Significant clinical and physiologic improvements were observed on initiation of ivacaftor in a broad patient population, including reduced infection with P. aeruginosa. Biomarker studies substantially improve the understanding of the mechanistic consequences of CFTR modulation on pulmonary and gastrointestinal physiology."	
32631930		Thorax	Maintenance tobramycin primarily affects untargeted bacteria in the CF sputum microbiome.	"The most common antibiotic used to treat people with cystic fibrosis (PWCF) is inhaled tobramycin, administered as maintenance therapy for chronic  lung infections. While the effects of inhaled tobramycin on  abundance and lung function diminish with continued therapy, this maintenance treatment is known to improve long-term outcomes, underscoring how little is known about why antibiotics work in CF infections, what their effects are on complex CF sputum microbiomes and how to improve these treatments. To rigorously define the effect of maintenance tobramycin on CF sputum microbiome characteristics. We collected sputum from 30 PWCF at standardised times before, during and after a single month-long course of maintenance inhaled tobramycin. We used traditional culture, quantitative PCR and metagenomic sequencing to define the dynamic effects of this treatment on sputum microbiomes, including abundance changes in both clinically targeted and untargeted bacteria, as well as functional gene categories. CF sputum microbiota changed most markedly by 1 week of antibiotic therapy and plateaued thereafter, and this shift was largely driven by changes in non-dominant taxa. The genetically conferred functional capacities (ie, metagenomes) of subjects' sputum communities changed little with antibiotic perturbation, despite taxonomic shifts, suggesting functional redundancy within the CF sputum microbiome. Maintenance treatment with inhaled tobramycin, an antibiotic with demonstrated long-term mortality benefit, primarily impacted clinically untargeted bacteria in CF sputum, highlighting the importance of monitoring the non-canonical effects of antibiotics and other treatments to accurately define and improve their clinical impact."	
35801603		Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego	Importance of antimicrobial factors for microbiocenosis and local immunity of the oral cavity in children with mucoviscidosis.	"The involvement of commensals and opportunistic pathogens and the role of protective mechanisms in the development of dental diseases in children with cystic fibrosis require more detailed study. The aim of the study was to determine the ecological characteristics of the oral microbiota and some antimicrobial factors of saliva in children with mucoviscidosis. The study involved an assessment of oral microbiota as complex ecological system that protects the human body from colonization by pathogenic flora in children with cystic fibrosis. Bacteriological studies have been performed on clinical material from 30 children with mucoviscidosis diagnosed with dental and periodontal diseases. In the microbiological study of plaque microbiota, 70 strains of opportunistic pathogens were isolated in patients with mucoviscidosis. The most significant were alpha-hemolytic Streptococci (40%). The proportion of bacteria of Neisseria genus in patients with cystic fibrosis was lower and amounted to 24.3%. C. albicans fungi were isolated in comparable values (18.5%), S. aureus (8.5%), as well as gram-negative strains of E. aerogenes (4.3%) and E. coli (4.3%) significantly dominated. The results indicate that opportunistic pathogens S. aureus, E. aerogenes and E. coli partially replaced the representatives of the normal oral microbiota alpha-hemolytic streptococci and non-pathogenic species of Neisseria genus in patients with mucoviscidosis. Microbiota of plaque in children with mucoviscidosis is characterized by an expansion of the spectrum of opportunistic pathogens due to Staphylococcus aureus, enterobacteria and C. albicans fungi, which indicates a violation of the microbiocenosis due to reduced mucosal immunity. Mucosal immunity of the oral cavity in children with mucoviscidosis is characterized by a 1.5-fold decrease in lysozyme activity and the level of secretory IgA in the saliva of children."	
30116405		Disease markers	Serum Level of D-Lactate in Patients with Cystic Fibrosis: Preliminary Data.	"D-Lactate is produced by the intestinal biota and later absorbed into circulation. Some patients with cystic fibrosis (CF) develop exocrine pancreatic insufficiency that may disturb the gut microbiome and enhance the production of D-lactate. However, this concept has not been studied yet. The aim of the study was to assess D-lactate concentration in relation to the occurrence of clinical features, activity of CF, and diet composition in paediatric patients. . Serum concentrations of D-lactate were measured in 38 CF patients (19 girls and 19 boys) from 6 months to 18 years of age. The analysis included age, sex, clinical symptoms, diet (the variety and calorie needs), the laboratory tests for pancreatic efficiency (serum levels of albumin and glucose, faecal elastase activity, and faecal fat index) and faecal calprotectin (the marker of intestinal inflammation), and parameters of liver damage and of cholestasis (the activity of aminotransferases, -glutamyltransferase, level of bilirubin, and international normalized ratio). . The median level of D-lactate was 0.86 g/ml (1Q-3Q: 0.48-2.03) and correlated with the CF severity in the Schwachman-Kulczycki score, parameters of pancreatic insufficiency, and the presence of intestinal inflammation. An increased level of D-lactate was observed in the subgroup with pancreas insufficiency (1.05 versus 0.73;  < 0.05), parallel with an elevated level of calprotectin (0.948 versus 0.755;  = 0.08). There was no relationship between energy consumption and diet composition and serum D-lactates. . Serum D-lactate concentration in CF patients is a promising new marker of exocrine pancreatic insufficiency probably related to intestinal flora dysbiosis/overgrowth."	
34021052		Journal of investigative medicine : the official publication of the American Federation for Clinical Research	Importance of beta-lactam pharmacokinetics and pharmacodynamics on the recovery of microbial diversity in the airway of persons with cystic fibrosis.	"Cystic fibrosis (CF) is a chronic lung disease characterized by acute pulmonary exacerbations (PExs) that are frequently treated with antibiotics. The impact of antibiotics on airway microbial diversity remains a critical knowledge gap. We sought to define the association between beta-lactam pharmacokinetic (PK) and pharmacodynamic target attainment on richness and alpha diversity. Twenty-seven children <18 years of age with CF participated in the prospective study. Airway samples were collected at hospital admission for PEx, end of antibiotic treatment (Tr), and >1 month in follow-up (FU). Metagenomic sequencing was performed to determine richness, alpha diversity, and the presence of antibiotic resistance genes. Free plasma beta-lactam levels were measured, and PK modeling was performed to determine time above the minimum inhibitory concentration (T>MIC). 52% of study subjects had sufficient T>MIC for optimal bacterial killing. There were no significant differences in demographics or PEx characteristics, except for F508del homozygosity. No significant differences were noted in richness or alpha diversity at individual time points, and both groups experienced a decrease in richness and alpha diversity at Tr compared with PEx. However, alpha diversity remained decreased at FU compared with PEx in those with sufficient T>MIC but increased in those with insufficient T>MIC (Shannon -0.222 vs +0.452, p=0.031, and inverse Simpson -1.376 vs +1.388, p=0.032). Fluoroquinolone resistance was also more frequently detected in those with insufficient T>MIC (log2 fold change (log2FC) 2.29, p=0.025). These findings suggest sufficient beta-lactam T>MIC is associated with suppressed recovery of alpha diversity following the antibiotic exposure period."	
33468311		Clinical radiology	Ultra-low-dose thoracic CT with model-based iterative reconstruction (MBIR) in cystic fibrosis patients undergoing treatment with cystic fibrosis transmembrane conductance regulators (CFTR).	"To assess the utility of a volumetric low-dose computed tomography (CT) thorax (LDCTT) protocol at a dose equivalent to a posteroanterior (PA) and lateral chest radiograph for surveillance of cystic fibrosis (CF) patients. A prospective study was undertaken of 19 adult patients with CF that proceeded to LDCTT at 12 and 24 months following initiation of ivacaftor. A previously validated seven-section, low-dose axial CT protocol was used for the 12-month study. A volumetric LDCTT protocol was developed for the 24-month study and reconstructed with hybrid iterative reconstruction (LD-ASIR) and pure iterative reconstruction (model-based IR [LD-MBIR]). Radiation dose was recorded for each scan. Image quality was assessed quantitatively and qualitatively, and disease severity was assessed using a modified Bhalla score. Statistical analysis was performed and p-values of <0.05 were considered statistically significant. Volumetric LD-MBIR studies were acquired at a lower radiation dose than the seven-section studies (0.08 ± 0.01 versus 0.10 ± 0.02 mSv; p=0.02). LD-MBIR and seven-section ASIR images had significantly lower levels of image noise compared with LD-ASIR images (p<0.0001). Diagnostic acceptability scores and depiction of bronchovascular structures were found to be acceptable for axial and coronal LD-MBIR images. LD-MBIR images were superior to LD-ASIR images for all qualitative parameters assessed (p<0.0001). No significant change was observed in mean Bhalla score between 1-year and 2-year studies (p=0.84). The use of a volumetric LDCTT protocol (reconstructed with pure IR) enabled acquisition of diagnostic quality CT images, which were considered extremely useful for surveillance of CF patients, at a dose equivalent to a PA and lateral chest radiograph."	
35597889		The ISME journal	Complex and unexpected outcomes of antibiotic therapy against a polymicrobial infection.	"Antibiotics are our primary approach to treating complex infections, yet we have a poor understanding of how these drugs affect microbial communities. To better understand antimicrobial effects on host-associated microbial communities we treated cultured sputum microbiomes from people with cystic fibrosis (pwCF, n = 24) with 11 different antibiotics, supported by theoretical and mathematical modeling-based predictions in a mucus-plugged bronchiole microcosm. Treatment outcomes we identified in vitro that were predicted in silico were: 1) community death, 2) community resistance, 3) pathogen killing, and 4) fermenter killing. However, two outcomes that were not predicted when antibiotics were applied were 5) community profile shifts with little change in total bacterial load (TBL), and 6) increases in TBL. The latter outcome was observed in 17.8% of samples with a TBL increase of greater than 20% and 6.8% of samples with an increase greater than 40%, demonstrating significant increases in community carrying capacity in the presence of an antibiotic. An iteration of the mathematical model showed that TBL increase was due to antibiotic-mediated release of pH-dependent inhibition of pathogens by anaerobe fermentation. These dynamics were verified in vitro when killing of fermenters resulted in a higher community carrying capacity compared to a no antibiotic control. Metagenomic sequencing of sputum samples during antibiotic therapy revealed similar dynamics in clinical samples. This study shows that the complex microbial ecology dictates the outcomes of antibiotic therapy against a polymicrobial infection."	
33139284		Antimicrobial agents and chemotherapy	Liquid Chromatography Mass Spectrometry Detection of Antibiotic Agents in Sputum from Persons with Cystic Fibrosis.	"Antibiotic therapy is expected to impact host microbial communities considerably, yet many studies focused on microbiome and health are often confounded by limited information about antibiotic exposure. Given that antibiotics have diverse pharmacokinetic and antimicrobial properties, investigating the type and concentration of these agents in specific host specimens would provide much needed insight into their impact on the microbes therein. Here, we developed liquid chromatography mass spectrometry (LC-MS) methods to detect 18 antibiotic agents in sputum from persons with cystic fibrosis. Antibiotic spike-in control samples were used to compare three liquid extraction methods on the Waters Acquity Quattro Premier XE. Extraction with dithiothreitol captured the most antibiotics and was used to detect antibiotics in sputum samples from 11 people with cystic fibrosis, with results being compared to the individuals' self-reported antibiotic use. For the sputum samples, two LC-MS assays were used; the Quattro Premier detected nanomolar or micromolar concentrations of 16 antibiotics, whereas the Xevo TQ-XS detected all 18 antibiotics, most at subnanomolar levels. In 45% of tested sputum samples (71/158), at least one antibiotic that was not reported by the subject was detected by both LC-MS methods, a discordance largely explained by the thrice weekly administration and long half-life of azithromycin. For ∼37% of samples, antibiotics reported as taken by the individual were not detected by either instrument. Our results provide an approach for detecting a variety of antibiotics at the site of infection, thereby providing a means to include antibiotic usage data into microbiome studies."	
27093603		PloS one	Culture-Independent Identification of Nontuberculous Mycobacteria in Cystic Fibrosis Respiratory Samples.	"Respiratory tract infections with nontuberculous mycobacteria (NTM) are increasing in prevalence and are a significant cause of lung function decline in individuals with cystic fibrosis (CF). NTM have been detected in culture-independent analyses of CF airway microbiota at lower rates than would be expected based on published prevalence data, likely due to poor lysing of the NTM cell wall during DNA extraction. We compared a standard bacterial lysis protocol with a modified method by measuring NTM DNA extraction by qPCR and NTM detection with bacterial 16S rRNA gene sequencing. The modified method improved NTM DNA recovery from spiked CF sputum samples by a mean of 0.53 log10 copies/mL for M. abscessus complex and by a mean of 0.43 log10 copies/mL for M. avium complex as measured by qPCR targeting the atpE gene. The modified method also improved DNA sequence based NTM detection in NTM culture-positive CF sputum and bronchoalveolar lavage samples; however, both qPCR and 16S rRNA gene sequencing remained less sensitive than culture for NTM detection. We highlight the limitations of culture-independent identification of NTM from CF respiratory samples, and illustrate how alterations in the bacterial lysis and DNA extraction process can be employed to improve NTM detection with both qPCR and 16S rRNA gene sequencing."	
31492943		Scientific reports	In vitro evolution of Pseudomonas aeruginosa AA2 biofilms in the presence of cystic fibrosis lung microbiome members.	"In cystic fibrosis (CF) airways, the opportunistic pathogen Pseudomonas aeruginosa evolves from an acute to a chronic infection phenotype. Yet, the in vivo factors influencing the evolutionary trajectory of P. aeruginosa are poorly understood. This study aimed at understanding the role of the CF lung microbiome in P. aeruginosa evolution. Therefore, we investigated the in vitro biofilm evolution of an early CF P. aeruginosa isolate, AA2, in the presence or absence of a synthetic CF lung microbiome. Whole genome sequencing of evolved populations revealed mutations in quorum sensing (QS) genes (lasR, pqsR) with and without the microbiome. Phenotypic assays confirmed decreased production of the QS molecule 3-O-C-homoserine lactone, and QS-regulated virulence factors pyocyanin and protease. Furthermore, a mixture of lasR and lasR pqsR mutants was found, in which double mutants showed less pyocyanin and protease production than lasR mutants. While the microbial community did not influence the production of the tested P. aeruginosa virulence factors, we observed a trend towards more mutations in the transcriptional regulators gntR and mexL when P. aeruginosa was grown alone. P. aeruginosa developed resistance to β-lactam antibiotics during evolution, when grown with and without the microbiome. In conclusion, in an experimental biofilm environment, the early P. aeruginosa CF isolate AA2 evolves towards a CF-like genotype and phenotype, and most studied evolutionary adaptations are not impacted by CF microbiome members."	
26408040		Journal of medical microbiology	Antibiotic susceptibility and molecular mechanisms of macrolide resistance in streptococci isolated from adult cystic fibrosis patients.	"The cystic fibrosis (CF) airways are colonized by polymicrobial communities with high bacterial load and are influenced by frequent antibiotic exposures. This community includes diverse streptococci, some of which have been directly or indirectly associated with pulmonary exacerbations. As many streptococci are naturally competent, horizontal transfer of antibiotic-resistant determinants coupled with frequent and/or chronic antibiotic exposure may contribute to high resistance rates. In this study, we assessed antibiotic resistance in 413 streptococcal isolates from adult CF patients against nine antibiotics relevant in CF treatment. We observed very low rates of cephalosporin resistance [cefepime and ceftriaxone ( < 2%)], and higher rates of resistance to tetracycline (∼34%) and sulfamethoxazole/trimethoprim (∼45%). The highest rate of antibiotic resistance was to the macrolides [azithromycin (56.4%) and erythromycin (51.6%)]. We also investigated the molecular mechanisms of macrolide resistance and found that only half of our macrolide-resistant streptococci isolates contained the mef (efflux pump) or erm (methylation of 23S ribosomal target site) genes. The majority of isolates were, however, found to have point mutations at position 2058 or 2059 of the 23S ribosomal subunit - a molecular mechanism of resistance not commonly reported in the non-pyogenic and non-pneumococcal streptococci, and unique in comparison with previous studies. The high rates of resistance observed here may result in poor outcomes where specific streptococci are contributing to CF airway disease and serve as a reservoir of resistance genes within the CF airway microbiome."	
29128317		Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Lack of efficacy of Lactobacillus GG in reducing pulmonary exacerbations and hospital admissions in children with cystic fibrosis: A randomised placebo controlled trial.	"Intestinal dysbiosis has been described in Cystic Fibrosis (CF) and probiotics have been proposed to restore microbial composition. Aim of the study was to investigate the effects of Lactobacillus rhamnosus GG (LGG) on clinical outcomes in children with cystic fibrosis (CF). A multicentre, randomised double-blind, clinical trial was conducted in children with CF. After 6months of baseline assessment, enrolled children (2 to 16years of age) received Lactobacillus GG (6×10CFU/day) or placebo for 12months. Primary outcomes were proportion of subjects with at least one pulmonary exacerbation and hospitalisation over 12months. Secondary endpoints were total number of exacerbations and hospitalisations, pulmonary function, and nutritional status. Ninety-five patients were enrolled (51/95 female; median age of 103±50months). In a multivariate GEE logistic analysis, the odds of experiencing at least one exacerbation was not significantly different between the two groups, also after adjusting for the presence of different microbial organisms and for the number of pulmonary exacerbations within 6months before randomisation (OR 0.83; 95% CI 0.38 to 1.82, p=0.643). Similarly, LGG supplementation did not significantly affect the odds of hospitalisations (OR 1.67; 95% CI 0.75 to 3.72, p=0.211). No significant difference was found for body mass index and FEV1. LGG supplementation had no effect on respiratory and nutritional outcomes in this large study population of children with CF under stringent randomised clinical trial conditions. Whether earlier interventions, larger doses, or different strains of probiotics may be effective is unknown."	
38702073		BMJ open respiratory research	"{'i': 'Pseudomonas aeruginosa', '#text': 'Considerations for the use of inhaled antibiotics for  in people with cystic fibrosis receiving CFTR modulator therapy.'}"	"The major cause of mortality in people with cystic fibrosis (pwCF) is progressive lung disease characterised by acute and chronic infections, the accumulation of mucus, airway inflammation, structural damage and pulmonary exacerbations. The prevalence of  rises rapidly in the teenage years, and this organism is the most common cause of chronic lung infection in adults with cystic fibrosis (CF). It is associated with an accelerated decline in lung function and premature death. New  infections are treated with antibiotics to eradicate the organism, while chronic infections require long-term inhaled antibiotic therapy. The prevalence of  infections has decreased in CF registries since the introduction of CF transmembrane conductance regulator modulators (CFTRm), but clinical observations suggest that chronic  infections usually persist in patients receiving CFTRm. This indicates that pwCF may still need inhaled antibiotics in the CFTRm era to maintain long-term control of  infections. Here, we provide an overview of the changing perceptions of  infection management, including considerations on detection and treatment, the therapy burden associated with inhaled antibiotics and the potential effects of CFTRm on the lung microbiome. We conclude that updated guidance is required on the diagnosis and management of  infection. In particular, we highlight a need for prospective studies to evaluate the consequences of stopping inhaled antibiotic therapy in pwCF who have chronic  infection and are receiving CFTRm. This will help inform new guidelines on the use of antibiotics alongside CFTRm."	
34112603		Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Microbial interaction: Prevotella spp. reduce P. aeruginosa induced inflammation in cystic fibrosis bronchial epithelial cells.	"In Cystic Fibrosis (CF) airways, the dehydrated, thick mucus promotes the establishment of persistent polymicrobial infections and drives chronic airways inflammation. This also predisposes the airways to further infections, the vicious, self-perpetuating cycle causing lung damage and progressive lung function decline. The airways are a poly-microbial environment, containing both aerobic and anaerobic bacterial species. Pseudomonas aeruginosa (P. aeruginosa) infections contribute to the excessive inflammatory response in CF, but the role of anaerobic Prevotella spp., frequently found in CF airways, is not known. We assessed innate immune signalling in CF airway epithelial cells in response to clinical strains of P. histicola, P. nigresens and P. aeruginosa. CFBE41o- cells were infected with P. aeruginosa (MOI 100, 2h) followed by infection with P. histicola or P. nigrescens (MOI 100, 2h). Cells were incubated under anaerobic conditions for the duration of the experiments. Our study shows that P. histicola and P. nigresens can reduce the growth of P. aeruginosa and dampen the inflammatory response in airway epithelial cells. We specifically illustrate that the presence of the investigated Prevotella spp. reduces Toll-like-receptor (TLR)-4, MAPK, NF-κB(p65) signalling and cytokine release (Interleukin (IL)-6, IL-8) in mixed infections. Our work, for the first time, strongly indicates a relationship between P. aeruginosa and anaerobic Prevotella spp.. The observed modified NF-κB and MAPK signalling indicates some mechanisms underlying this interaction that could offer a novel therapeutic approach to combat chronic P. aeruginosa infection in people with CF."	
25624972		The World Allergy Organization journal	The microbiome of the upper airways: focus on chronic rhinosinusitis.	"Upper airway diseases including allergic rhinitis, chronic rhinosinusitis with or without polyps, and cystic fibrosis are characterized by substantially different inflammatory profiles. Traditionally, studies on the association of specific bacterial patterns with inflammatory profiles of diseases had been dependent on bacterial culturing. In the past 30 years, molecular biology methods have allowed bacterial culture free studies of microbial communities, revealing microbiota much more diverse than previously recognized including those found in the upper airway. At presence, the study of the pathophysiology of upper airway diseases is necessary to establish the relationship between the microbiome and inflammatory patterns to find their clinical reflections and also their possible causal relationships. Such investigations may elucidate the path to therapeutic approaches in correcting an imbalanced microbiome. In the review we summarized techniques used and the current knowledge on the microbiome of upper airway diseases, the limitations and pitfalls, and identified areas of interest for further research."	
37343220		The Pediatric infectious disease journal	Bacteriophage Therapy of Multidrug-resistant Achromobacter in an 11-Year-old Boy With Cystic Fibrosis Assessed by Metagenome Analysis.	"Cystic fibrosis (CF) is a genetic disease associated with lung disease characterized by chronic pulmonary infection, increasingly caused by multiple drug-resistant pathogens after repeated antibiotic exposure, limiting antibiotic treatment options. Bacteriophages can provide a pathogen-specific bactericidal treatment used with antibiotics to improve microbiologic and clinical outcomes in CF. Achromobacter species isolates from sputum of a chronically infected person with CF, were assessed for susceptibility to bacteriophages: 2 highly active, purified bacteriophages were administered intravenously every 8 hours, in conjunction with a 14-day piperacillin/tazobactam course for CF exacerbation. Sputum and blood were collected for metagenome analysis during treatment, with sputum analysis at 1-month follow-up. Assessments of clinical status, pulmonary status and laboratory evaluation for safety were conducted. Bacteriophage administration was well-tolerated, with no associated clinical or laboratory adverse events. Metagenome analysis documented an 86% decrease in the relative proportion of Achromobacter DNA sequence reads in sputum and a 92% decrease in blood, compared with other bacterial DNA reads, comparing pretreatment and posttreatment samples. Bacteriophage DNA reads were detected in sputum after intravenous administration during treatment, and at 1-month follow-up. Reversal of antibiotic resistance to multiple antibiotics occurred in some isolates during treatment. Stabilization of lung function was documented at 1-month follow-up. Bacteriophage/antibiotic treatment decreased the host pulmonary bacterial burden for Achromobacter assessed by metagenome analysis of sputum and blood, with ongoing bacteriophage replication documented in sputum at 1-month follow-up. Prospective controlled studies are needed to define the dose, route of administration and duration of bacteriophage therapy for both acute and chronic infection in CF."	
38448281		Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Alterations in the fecal microbiota in patients with advanced cystic fibrosis liver disease after 6 months of elexacaftor/tezacaftor/ivacaftor.	"Cystic fibrosis associated liver disease (CFLD) carries a significant disease burden with no effective preventive therapies. According to the gut-liver axis hypothesis for CFLD pathogenesis, dysbiosis and increased intestinal inflammation and permeability permit pathogenic bacterial translocation into the portal circulation, leading to hepatic inflammation and fibrosis. Evaluating the effect of CFTR (cystic fibrosis transmembrane conductance regulator) modulation with elexacaftor/tezacaftor/ivacaftor (ETI) may help determine the role of CFTR in CFLD and increase understanding of CFLD pathogenesis, which is critical for developing therapies. We aimed to characterize the fecal microbiota in participants with CF with and without advanced CFLD (aCFLD) before and after ETI. This is an ancillary analysis of stool samples from participants ages ≥12 y/o enrolled in PROMISE (NCT04038047). Included participants had aCFLD (cirrhosis with or without portal hypertension, or non-cirrhotic portal hypertension) or CF without liver disease (CFnoLD). Fecal microbiota were defined by shotgun metagenomic sequencing at baseline and 1 and 6 months post-ETI. We analyzed 93 samples from 34 participants (11 aCFLD and 23 CFnoLD). Compared to CFnoLD, aCFLD had significantly higher baseline relative abundances of potential pathogens Streptococcus salivarius and Veillonella parvula. Four of 11 aCFLD participants had an initially abnormal fecal calprotectin that normalized 6 months post-ETI, correlating with a significant decrease in S. salivarius and a trend towards decreasing V. parvula. These results support an association between dysbiosis and intestinal inflammation in CFLD with improvements in both post-ETI, lending further support to the gut-liver axis in aCFLD."	
20585638		PloS one	Airway microbiota and pathogen abundance in age-stratified cystic fibrosis patients.	"Bacterial communities in the airways of cystic fibrosis (CF) patients are, as in other ecological niches, influenced by autogenic and allogenic factors. However, our understanding of microbial colonization in younger versus older CF airways and the association with pulmonary function is rudimentary at best. Using a phylogenetic microarray, we examine the airway microbiota in age stratified CF patients ranging from neonates (9 months) to adults (72 years). From a cohort of clinically stable patients, we demonstrate that older CF patients who exhibit poorer pulmonary function possess more uneven, phylogenetically-clustered airway communities, compared to younger patients. Using longitudinal samples collected form a subset of these patients a pattern of initial bacterial community diversification was observed in younger patients compared with a progressive loss of diversity over time in older patients. We describe in detail the distinct bacterial community profiles associated with young and old CF patients with a particular focus on the differences between respective ""early"" and ""late"" colonizing organisms. Finally we assess the influence of Cystic Fibrosis Transmembrane Regulator (CFTR) mutation on bacterial abundance and identify genotype-specific communities involving members of the Pseudomonadaceae, Xanthomonadaceae, Moraxellaceae and Enterobacteriaceae amongst others. Data presented here provides insights into the CF airway microbiota, including initial diversification events in younger patients and establishment of specialized communities of pathogens associated with poor pulmonary function in older patient populations."	
33481845		PloS one	Safety of research bronchoscopy with BAL in stable adult patients with cystic fibrosis.	"Data on adverse events from research bronchoscopy with bronchoalveolar lavage (BAL) in patients with cystic fibrosis (CF) is lacking. As research bronchoscopy with BAL is useful for isolation of immune cells and investigation of CF lung microbiome, we sought to investigate the safety of bronchoscopy in adult patients with CF. Between November 2016 and September 2019, we performed research bronchoscopies on CF subjects (32) and control subjects (82). Control subjects were nonsmokers without respiratory disease. CF subjects had mild or moderate obstructive lung disease (FEV1 > 50% predicted) and no evidence of recent CF pulmonary exacerbation. There was no significant difference in the age or sex of each cohort. Neither group experienced life threatening adverse events. The number of adverse events was similar between CF and control subjects. The most common adverse events were sore throat and cough, which occurred at similar frequencies in control and CF subjects. Fever and headache occurred more frequently in CF subjects. However, the majority of fevers were seen in CF subjects with FEV1 values below 65% predicted. We found that CF subjects had similar adverse event profiles following research bronchoscopy compared to healthy subjects. While CF subjects had a higher rate of fevers, this adverse event occurred with greater frequency in CF subjects with lower FEV1. Our data demonstrate that research bronchoscopy with BAL is safe in CF subjects and that safety profile is improved if bronchoscopies are limited to subjects with an FEV1 > 65% predicted."	
22827300		Future microbiology	Microbial diversity in the cystic fibrosis airways: where is thy sting?		
25629612		PloS one	Comparison of microbiomes from different niches of upper and lower airways in children and adolescents with cystic fibrosis.	"Changes in the airway microbiome may be important in the pathophysiology of chronic lung disease in patients with cystic fibrosis. However, little is known about the microbiome in early cystic fibrosis lung disease and the relationship between the microbiomes from different niches in the upper and lower airways. Therefore, in this cross-sectional study, we examined the relationship between the microbiome in the upper (nose and throat) and lower (sputum) airways from children with cystic fibrosis using next generation sequencing. Our results demonstrate a significant difference in both α and β-diversity between the nose and the two other sampling sites. The nasal microbiome was characterized by a polymicrobial community while the throat and sputum communities were less diverse and dominated by a few operational taxonomic units. Moreover, sputum and throat microbiomes were closely related especially in patients with clinically stable lung disease. There was a high inter-individual variability in sputum samples primarily due to a decrease in evenness linked to increased abundance of potential respiratory pathogens such as Pseudomonas aeruginosa. Patients with chronic Pseudomonas aeruginosa infection exhibited a less diverse sputum microbiome. A high concordance was found between pediatric and adult sputum microbiomes except that Burkholderia was only observed in the adult cohort. These results indicate that an adult-like lower airways microbiome is established early in life and that throat swabs may be a good surrogate in clinically stable children with cystic fibrosis without chronic Pseudomonas aeruginosa infection in whom sputum sampling is often not feasible."	
27156045		Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Episodic oral antibiotic use in CF: Discordance between the electronic medical record and self-report.	"Accurate accounting of antibiotic use is necessary for studies comparing the CF airway microbiota across clinically relevant disease states. While poor adherence to chronic therapies is well described for individuals with CF, use patterns of episodic oral antibiotics are less clear. Eleven individuals with CF completed daily questionnaires regarding antibiotic use for a mean of 458days. Self-report of episodic oral antibiotic use was compared to antibiotic prescription data in the electronic medical record (EMR). Self-reported use of episodic oral antibiotics differed from EMR data an average of 8.3% of days per subject. The majority of these discrepancies were due to self-reported use of oral antibiotics outside of the EMR-documented dates of antibiotic prescription. Discrepancies exist between self-reported use of episodic oral antibiotics and EMR data that have implications for studies of the CF airway microbiota."	
